reel_id,title,category,topic,difficulty,educational_value,hype_score,semantic_tags,prerequisites
N001,10 AI Tools That Will Guarantee You a Job,Career,AI tools,Beginner,0.18,0.96,"ai,career,hype",
N002,Become a Software Engineer in 7 Days,Career,Career hype,Beginner,0.12,0.98,"career,hype",
N003,The One Java Trick Interviewers Don't Want You to Know,Java,Interview clickbait,Beginner,0.24,0.91,"java,interview,hype",
N004,Make ₹1 Lakh This Weekend With AI,Career,Money hype,Beginner,0.08,0.99,"ai,money,hype",
N005,Top 5 AI Tools You MUST Use in 2026,AI,AI tools,Beginner,0.28,0.88,"ai,tools,hype",
N006,Guaranteed FAANG Coding Formula,Career,Interview hype,Intermediate,0.22,0.97,"career,dsa,hype",
N007,Learn Kubernetes in 10 Minutes and Get Hired,Cloud,Cloud hype,Beginner,0.25,0.94,"cloud,kubernetes,hype",
N008,This Laptop Will Make You a 10x Developer,Hardware,Hardware hype,Beginner,0.2,0.92,"hardware,laptop,hype",
N009,Stop Coding: AI Will Replace Every Developer,Career,Fear bait,Beginner,0.14,0.95,"ai,career,hype",
N010,Secret Prompt That Makes Gemini Do Your Job,AI,Prompt hype,Beginner,0.27,0.9,"ai,prompting,hype",
N011,Earn From Coding Without Learning Coding,Career,Money hype,Beginner,0.1,0.99,"career,hype",
N012,The Ultimate 3-Tool Stack Every Developer Needs,Career,Tool list,Beginner,0.31,0.82,"tools,career,hype",
N013,One Certification = Guaranteed Developer Job,Career,Certification hype,Beginner,0.15,0.98,"career,certification,hype",
N014,Use These 7 Prompts to Become an AI Engineer Overnight,AI,Prompt hype,Beginner,0.23,0.96,"ai,prompting,hype",
N015,The Laptop Brand Developers Are Secretly Switching To,Hardware,Brand bait,Beginner,0.26,0.89,"hardware,laptop,hype",
