reel_id,title,category,topic,difficulty,educational_value,hype_score,semantic_tags,prerequisites
T001,Why Java Collections Behave Differently,Java,Java Collections,Beginner,0.86,0.08,"java,collections,programming","programming,java"
T002,What Really Happens Inside the JVM,Java,JVM Internals,Advanced,0.95,0.05,"java,jvm,runtime","java,systems"
T003,Java Memory Leaks Explained,Java,Java Memory,Intermediate,0.92,0.04,"java,memory,debugging","java,backend"
T004,Java Threads and Concurrency in Practice,Java,Concurrency,Intermediate,0.94,0.05,"java,threads,concurrency","java,backend"
T005,Clean Java Code: Patterns That Scale,Java,Clean Code,Intermediate,0.91,0.07,"java,clean-code,engineering","java,software-engineering"
T006,Java Backend API Design Basics,Java,Backend,Intermediate,0.93,0.06,"java,api,backend","java,web"
T007,DSA Patterns Every Programmer Should Recognize,DSA,Problem Solving,Intermediate,0.95,0.04,"dsa,algorithms,patterns",programming
T008,Why Two Pointers Works,DSA,Two Pointers,Beginner,0.89,0.03,"dsa,arrays,problem-solving",programming
T009,Binary Search Beyond Sorted Arrays,DSA,Binary Search,Intermediate,0.92,0.04,"dsa,binary-search,algorithms",programming
T010,How to Think About Dynamic Programming,DSA,Dynamic Programming,Advanced,0.96,0.06,"dsa,dp,problem-solving",dsa
T011,Graphs: From BFS to Real Problems,DSA,Graphs,Intermediate,0.94,0.04,"dsa,graphs,bfs",dsa
T012,Why Big-O Matters in Production,DSA,Complexity,Intermediate,0.9,0.05,"dsa,complexity,performance","dsa,software-engineering"
T013,How Hash Tables Actually Work,DSA,Hashing,Intermediate,0.93,0.04,"dsa,hashing,data-structures",programming
T014,Coding Interviews: Pattern Recognition Over Tricks,Career,Interview Strategy,Intermediate,0.91,0.09,"interviews,dsa,career","dsa,career"
T015,How to Explain Your Approach in a Coding Interview,Career,Technical Interviews,Beginner,0.88,0.1,"interviews,communication,career","career,dsa"
T016,What Interviewers Look for in System Design,HLD,System Design Interviews,Intermediate,0.95,0.07,"hld,interviews,architecture","career,hld"
T017,Design a URL Shortener in 60 Seconds,HLD,System Design,Intermediate,0.94,0.05,"hld,architecture,apis","backend,hld"
T018,Load Balancing Explained Visually,HLD,Scalability,Intermediate,0.96,0.03,"hld,load-balancing,scaling","backend,hld"
T019,Caching: The Hidden Performance Multiplier,HLD,Caching,Intermediate,0.95,0.03,"hld,caching,performance","backend,hld"
T020,Database Sharding Without the Buzzwords,HLD,Sharding,Advanced,0.96,0.05,"hld,databases,scaling","backend,databases"
T021,Queues vs Streams: When to Use Which,HLD,Distributed Systems,Advanced,0.95,0.04,"hld,queues,streams","backend,distributed-systems"
